model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,roc_auc_ovr_macro
Logistic Regression,0.36088709677419356,0.37100963072002086,0.37652285079504977,0.33561100409140265,0.39005780605115203,0.35128652555459633,0.5239803757008562
Decision Tree,0.44556451612903225,0.34864099833106893,0.35266332488707725,0.3492981954416212,0.4559997134970198,0.3369587557500198,0.5091028322967057
Random Forest,0.6310483870967742,0.2103494623655914,0.3333333333333333,0.25793160280181293,0.4883019657881095,0.36245032684140915,0.5377795613626679
XGBoost,0.5060483870967742,0.36029459579082945,0.3589957217876685,0.3586910782208981,0.49804501016120944,0.3473006416218687,0.5077789441194493
