,count,mean,std,min,25%,50%,75%,max
person_age,32409.0,27.73075380295597,6.210445205426984,20.0,23.0,26.0,30.0,94.0
person_income,32409.0,65894.27705267056,52517.869973187735,4000.0,38500.0,55000.0,79200.0,2039784.0
person_emp_length,31522.0,4.782850072964913,4.0373427764517285,0.0,2.0,4.0,7.0,41.0
loan_amnt,32409.0,9592.48665494153,6320.885127086218,500.0,5000.0,8000.0,12250.0,35000.0
loan_int_rate,29315.0,11.017099096025925,3.2417184450132255,5.42,7.9,10.99,13.47,23.22
loan_percent_income,32409.0,0.1702480792372489,0.10678497218228326,0.0,0.09,0.15,0.23,0.83
cb_person_cred_hist_length,32409.0,5.811194421302725,4.0578987383341225,2.0,3.0,4.0,8.0,30.0
