,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length
person_age,1.0,0.14048693552019476,0.17248116147659323,0.051646377266386705,0.011129155000936756,-0.021774084840569828,-0.04146790834817643,0.8782404768630099
person_income,0.14048693552019476,1.0,0.1544108382301097,0.3167318638769599,-0.0010193389984237263,-0.16926248840758312,-0.29476604986884747,0.12265420069133201
person_emp_length,0.17248116147659323,0.1544108382301097,1.0,0.11108643319655818,-0.058474495222757036,-0.08631337703900539,-0.058461767923699115,0.14961915667298054
loan_amnt,0.051646377266386705,0.3167318638769599,0.11108643319655818,1.0,0.14692640487572953,0.10560086629156928,0.572631576403075,0.042139009995405236
loan_int_rate,0.011129155000936756,-0.0010193389984237263,-0.058474495222757036,0.14692640487572953,1.0,0.33581219483648883,0.12011106741459722,0.01585538877327447
loan_status,-0.021774084840569828,-0.16926248840758312,-0.08631337703900539,0.10560086629156928,0.33581219483648883,1.0,0.37958006788025184,-0.01644058827271155
loan_percent_income,-0.04146790834817643,-0.29476604986884747,-0.058461767923699115,0.572631576403075,0.12011106741459722,0.37958006788025184,1.0,-0.031214006290502434
cb_person_cred_hist_length,0.8782404768630099,0.12265420069133201,0.14961915667298054,0.042139009995405236,0.01585538877327447,-0.01644058827271155,-0.031214006290502434,1.0
