model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,macro_pr_auc,roc_auc_ovr_macro
Logistic Regression,0.3608870967741935,0.3710096307200208,0.3765228507950497,0.3356110040914026,0.390057806051152,0.3512865255545963,0.5239803757008562
Decision Tree,0.4899193548387097,0.3580699444901477,0.3584161892695824,0.3581348934290111,0.4905914254941769,0.3423585587172004,0.5215391555546233
Random Forest,0.6310483870967742,0.2103494623655914,0.3333333333333333,0.2579316028018129,0.4883019657881095,0.339329697534193,0.506771154640834
XGBoost,0.6068548387096774,0.3760621282551107,0.3457039617837513,0.3102160621086055,0.5101485792905457,0.3571086206353598,0.5257653410495909
