model,accuracy,precision,recall,f1,pr_auc,roc_auc
Logistic Regression,0.829990743597655,0.5819502074688797,0.7912552891396333,0.6706515242080096,0.7482149783856122,0.8880533682266147
Decision Tree,0.9191607528540574,0.8794567062818336,0.7306064880112835,0.7981510015408321,0.8465185528322114,0.9037356393870726
Random Forest,0.9341252699784017,0.9696682464454977,0.7214386459802539,0.8273352203801051,0.8882392092738123,0.9326686118668353
XGBoost,0.9207034865782165,0.8192090395480226,0.8180535966149506,0.8186309103740297,0.9100499472642973,0.9517326319026198
