,risk_probability,port_delay_days,supplier_lead_time_days,supplier_quality_score,supplier_reliability_index,weather_disruption_score,market_demand_index,fuel_price_index
risk_probability,1.0,0.8981268271728254,0.029285612420510948,-0.009232639349364219,-0.0676891839795805,0.10166574109134986,-0.0171832264366498,-0.01679432309030034
port_delay_days,0.8981268271728254,1.0,0.037053921611446,0.0037286620565784843,-0.001267302776071677,-0.012338965612631602,-0.017786660785517137,0.005591083072196454
supplier_lead_time_days,0.029285612420510948,0.037053921611446,1.0,0.0236314399335544,-0.026960459952618504,0.010709473710541493,0.010984388692561657,-0.02860326627273379
supplier_quality_score,-0.009232639349364219,0.0037286620565784843,0.0236314399335544,1.0,-0.015650258436389845,-0.006700047844282804,0.017153844478088365,-0.017693698664950398
supplier_reliability_index,-0.0676891839795805,-0.001267302776071677,-0.026960459952618504,-0.015650258436389845,1.0,0.0219995902541064,0.009124506951378048,-0.021927548434962627
weather_disruption_score,0.10166574109134986,-0.012338965612631602,0.010709473710541493,-0.006700047844282804,0.0219995902541064,1.0,0.016367597832927447,0.033400258959539894
market_demand_index,-0.0171832264366498,-0.017786660785517137,0.010984388692561657,0.017153844478088365,0.009124506951378048,0.016367597832927447,1.0,0.006861087791097454
fuel_price_index,-0.01679432309030034,0.005591083072196454,-0.02860326627273379,-0.017693698664950398,-0.021927548434962627,0.033400258959539894,0.006861087791097454,1.0
