model,accuracy,precision,recall,f1,pr_auc,roc_auc
Logistic Regression,0.6696590370514929,0.7316076294277929,0.6279424475062281,0.6758228229049821,0.7962423068719137,0.7268231797985047
Decision Tree,0.7154924865482729,0.8498447434570456,0.584422187198129,0.6925741828588643,0.7953771574123678,0.7696338397390392
Random Forest,0.6870277955895062,0.7884523402801503,0.5866592099242462,0.6727495335820896,0.8132199014284826,0.7353171987127705
XGBoost,0.713596699099501,0.8399421128798842,0.5901672682902028,0.693242557257607,0.8321944011499671,0.7660907965093909
