Shipping Mode,n_rows,accuracy,precision,recall,f1,roc_auc,pr_auc
First Class,5585,0.953088630259624,0.953088630259624,1.0,0.975980931426476,0.8948499454333994,0.9945223303712014
Same Day,1970,0.9786802030456853,0.9525959367945824,1.0,0.9757225433526011,0.9955337225257381,0.9937004697308993
Second Class,7014,0.7594810379241517,0.7594521329718933,0.9998121712997746,0.8632125192572773,0.5763785959749088,0.7875828395895466
Standard Class,21300,0.6111737089201877,0.34705882352941175,0.014428955734898509,0.0277060342803475,0.510428893896357,0.38561909878414447
