experiment,model,accuracy,precision,recall,f1,pr_auc,roc_auc
Baseline PR-AUC,Logistic Regression,0.8805924097500771,0.7854609929078015,0.6248236953455572,0.6959937156323645,0.7635061582707323,0.8849478439026998
Baseline PR-AUC,Decision Tree,0.9322739895094106,0.9775609756097561,0.7066290550070522,0.8203029062627917,0.8393682833890088,0.8951643922530675
Baseline PR-AUC,Random Forest,0.9352051835853131,0.9646182495344506,0.7306064880112835,0.8314606741573034,0.8902017571884727,0.9343024936664016
Baseline PR-AUC,XGBoost,0.9396791113853749,0.9794584500466853,0.7397743300423131,0.8429087987143431,0.9109916985076216,0.9517203769187408
Imbalance-weighted,Logistic Regression,0.829990743597655,0.5819502074688797,0.7912552891396333,0.6706515242080096,0.7482149783856122,0.8880533682266147
Imbalance-weighted,Decision Tree,0.9191607528540574,0.8794567062818336,0.7306064880112835,0.7981510015408321,0.8465185528322114,0.9037356393870726
Imbalance-weighted,Random Forest,0.9341252699784017,0.9696682464454977,0.7214386459802539,0.8273352203801051,0.8882392092738123,0.9326686118668353
Imbalance-weighted,XGBoost,0.9207034865782165,0.8192090395480226,0.8180535966149506,0.8186309103740297,0.9100499472642973,0.9517326319026198
